date_id,category_id,geo_id,sales_qty,sales_amt
2023-11-28T00:00:00,1001,1,5,1790
2023-11-28T00:00:00,1001,2,0,0
2023-11-28T00:00:00,1001,3,5,1790
2023-11-28T00:00:00,1002,1,9,3222
2023-11-28T00:00:00,1002,2,6,2148
2023-11-28T00:00:00,1002,3,3,1074
2023-11-28T00:00:00,1003,1,6,2148
2023-11-28T00:00:00,1003,2,4,1432
2023-11-28T00:00:00,1003,3,0,0
2023-11-28T00:00:00,1004,1,0,0
2023-11-28T00:00:00,1004,2,1,358
2023-11-28T00:00:00,1004,3,1,358
2023-11-28T00:00:00,1005,1,0,0
2023-11-28T00:00:00,1005,2,5,1790
2023-11-28T00:00:00,1005,3,6,2148
2023-11-28T00:00:00,1006,1,4,1432
2023-11-28T00:00:00,1006,2,1,358
2023-11-28T00:00:00,1006,3,3,1074
2023-11-28T00:00:00,1007,1,9,3222
2023-11-28T00:00:00,1007,2,6,2148
2023-11-28T00:00:00,1007,3,6,2148
2023-11-28T00:00:00,1008,1,4,1432
2023-11-28T00:00:00,1008,2,3,1074
2023-11-28T00:00:00,1008,3,5,1790
2023-11-28T00:00:00,1009,1,2,716
2023-11-28T00:00:00,1009,2,7,2506
2023-11-28T00:00:00,1009,3,8,2864
2023-11-28T00:00:00,1010,1,0,0
2023-11-28T00:00:00,1010,2,6,2148
2023-11-28T00:00:00,1010,3,7,2506
2023-11-29T00:00:00,1001,1,3,1074
2023-11-29T00:00:00,1001,2,2,716
2023-11-29T00:00:00,1001,3,7,2506
2023-11-29T00:00:00,1002,1,6,2148
2023-11-29T00:00:00,1002,2,9,3222
2023-11-29T00:00:00,1002,3,4,1432
2023-11-29T00:00:00,1003,1,7,2506
2023-11-29T00:00:00,1003,2,7,2506
2023-11-29T00:00:00,1003,3,5,1790
2023-11-29T00:00:00,1004,1,6,2148
2023-11-29T00:00:00,1004,2,5,1790
2023-11-29T00:00:00,1004,3,2,716
2023-11-29T00:00:00,1005,1,7,2506
2023-11-29T00:00:00,1005,2,5,1790
2023-11-29T00:00:00,1005,3,4,1432
2023-11-29T00:00:00,1006,1,4,1432
2023-11-29T00:00:00,1006,2,9,3222
2023-11-29T00:00:00,1006,3,8,2864
2023-11-29T00:00:00,1007,1,0,0
2023-11-29T00:00:00,1007,2,1,358
2023-11-29T00:00:00,1007,3,2,716
2023-11-29T00:00:00,1008,1,5,1790
2023-11-29T00:00:00,1008,2,7,2506
2023-11-29T00:00:00,1008,3,7,2506
2023-11-29T00:00:00,1009,1,6,2148
2023-11-29T00:00:00,1009,2,3,1074
2023-11-29T00:00:00,1009,3,4,1432
2023-11-29T00:00:00,1010,1,9,3222
2023-11-29T00:00:00,1010,2,0,0
2023-11-29T00:00:00,1010,3,9,3222
2023-11-30T00:00:00,1001,1,6,2148
2023-11-30T00:00:00,1001,2,7,2506
2023-11-30T00:00:00,1001,3,5,1790
2023-11-30T00:00:00,1002,1,0,0
2023-11-30T00:00:00,1002,2,8,2864
